GII Rank,Country,Gender_Inequality_Index_GII,Maternal Mortality Ratio,Adolescent_Birth_Rate,Percent Representation in Parliament,Population_with_Secondary_Education_Female,Population with Secondary Education (Male),Labour_Force_Participation_Rate_Female,Labour Force Participation Rate (Male)
110,Gabon,0.514,240,103,16.2,53.9,36.1,56,65.4
110,Indonesia,0.494,190,48.3,17.1,39.9,49.2,51,84.2
112,Paraguay,0.472,110,67,16.8,36.8,43,56,84.8
113,"Palestine, State of",0,0,45.8,0,53.9,59.4,15,66.4
114,Uzbekistan,0,36,38.8,16.4,0,0,48,75.6
115,Philippines,0.42,120,46.8,27.1,65.9,63.7,51,79.7
116,El Salvador,0.427,69,76,27.4,36.8,43.6,48,79
116,South Africa,0.407,140,50.9,40.7,72.7,75.9,44,60.5
116,Viet Nam,0.308,49,29,24.3,59.4,71.2,73,82.2
119,Bolivia (Plurinational State of),0.444,200,71.9,51.8,47.6,59.1,64,80.9
120,Kyrgyzstan,0.353,75,29.3,23.3,94.5,96.8,56,79.5
121,Iraq,0.539,67,68.7,26.5,27.8,50.2,15,69.8
122,Cabo Verde,0,53,70.6,20.8,0,0,52,83.7
123,Micronesia (Federated States of),0,96,18.6,0,0,0,0,0
124,Guyana,0.515,250,88.5,31.3,60.3,47.8,43,80.5
125,Nicaragua,0.449,100,100.8,39.1,39.4,38.3,47,80.3
126,Morocco,0.525,120,35.8,11,20.7,30.2,26,75.8
126,Namibia,0.401,130,54.9,37.7,33.3,34.4,55,63.7
128,Guatemala,0.533,140,97.2,13.3,21.9,23.2,49,88.2
129,Tajikistan,0.357,44,42.8,15.2,95.1,91.2,59,77.1
130,India,0.563,190,32.8,12.2,27,56.6,27,79.9
131,Honduras,0.48,120,84,25.8,28,25.8,43,82.9
132,Bhutan,0.457,120,40.9,8.3,34,34.5,67,77.2
133,Timor-Leste,0,270,52.2,38.5,0,0,25,50.8
134,Syrian Arab Republic,0.533,49,41.6,12.4,29.5,40.5,14,72.7
134,Vanuatu,0,86,44.8,0,0,0,62,80
136,Congo,0.593,410,126.7,11.5,39.7,47,68,73
137,Kiribati,0,130,16.6,8.7,0,0,0,0
138,Equatorial Guinea,0,290,112.6,19.7,0,0,81,92.2
139,Zambia,0.587,280,125.4,12.7,25.8,44,73,85.6
140,Ghana,0.554,380,58.4,10.9,45.2,64.7,67,71.4
141,Lao People's Democratic Republic,0,0,65,25,22.9,37,76,79.1
142,Bangladesh,0.503,170,80.6,20,34.1,41.3,57,84.1
143,Cambodia,0.477,170,44.3,19,9.9,22.9,79,86.5
143,Sao Tome and Principe,0,210,65.1,18.2,0,0,45,77.8
145,Kenya,0.552,400,93.6,20.8,25.3,31.4,62,72.4
145,Nepal,0.489,190,73.7,29.5,17.7,38.2,80,87.1
147,Pakistan,0.536,170,27.3,19.7,19.3,46.1,25,82.9
148,Myanmar,0.413,200,12.1,4.7,22.9,15.3,75,82.3
149,Angola,0,460,170.2,36.8,0,0,63,76.9
150,Swaziland,0.557,310,72,14.7,21.9,26,44,71.6
151,Tanzania (United Republic of),0.547,410,122.7,36,5.6,9.5,88,90.2
152,Nigeria,0,560,119.6,6.6,0,0,48,63.7
153,Cameroon,0.587,590,115.8,27.1,21.3,34.9,64,76.8
154,Madagascar,0,440,122.8,20.5,0,0,87,90.5
155,Zimbabwe,0.504,470,60.3,35.1,48.7,62,83,89.7
156,Mauritania,0.61,320,73.3,22.2,8.3,20.9,29,79.1
156,Solomon Islands,0,130,64.9,2,0,0,53,79
158,Papua New Guinea,0.611,220,62.1,2.7,7.6,14.5,70,74
159,Comoros,0,350,51.1,3,0,0,35,80.1
160,Yemen,0.744,270,47,0.7,8.6,26.7,25,72.2
161,Lesotho,0.541,490,89.4,26.8,21.9,19,59,73.5
162,Togo,0.588,450,91.5,17.6,16.1,40.3,81,81.3
163,Haiti,0.603,380,42,3.5,22.4,35.2,61,71
163,Rwanda,0.4,320,33.6,57.5,8,8.8,86,85.3
163,Uganda,0.538,360,126.6,35,22.9,33.5,76,79.2
166,Benin,0.614,340,90.2,8.4,11.3,27,68,78.3
167,Sudan,0.591,360,84,23.8,12.1,18.2,31,76
168,Djibouti,0,230,18.6,12.7,0,0,36,67.7
169,South Sudan,0,730,75.3,24.3,0,0,0,0
170,Senegal,0.528,320,94.4,42.7,7.2,15.4,66,88
171,Afghanistan,0.693,400,86.8,27.6,5.9,29.8,16,79.5
172,C̫te d'Ivoire,0.679,720,130.3,9.2,14,30.1,52,81.4
173,Malawi,0.611,510,144.8,16.7,11.1,21.6,85,81.5
174,Ethiopia,0.558,420,78.4,25.5,7.8,18.2,78,89.3
175,Gambia,0.622,430,115.8,9.4,17.4,31.5,72,82.9
176,Congo (Democratic Republic of the),0.673,730,135.3,8.2,12.8,32.4,71,73.2
177,Liberia,0.651,640,117.4,10.7,15.4,39.3,58,64.8
178,Guinea-Bissau,0,560,99.3,13.7,0,0,68,78.5
179,Mali,0.677,550,175.6,9.5,7.7,15.1,51,81.4
180,Mozambique,0.591,480,137.8,39.6,1.4,6.2,86,82.8
181,Sierra Leone,0.65,1100,100.7,12.4,10,21.7,66,69
182,Guinea,0,650,131,21.9,0,0,66,78.3
183,Burkina Faso,0.631,400,115.4,13.3,0.9,3.2,77,90
184,Burundi,0.492,740,30.3,34.9,5.3,8.3,83,82
185,Chad,0.706,980,152,14.9,1.7,9.9,64,79.2
186,Eritrea,0,380,65.3,22,0,0,80,89.8
187,Central African Republic,0.655,880,98.3,12.5,10.1,26.7,73,85.1
188,Niger,0.713,630,204.8,13.3,2.4,7.8,40,89.7
,Arab States,0.537,155,45.4,14,34.7,47.6,23,75.3
,East Asia and the Pacific,0.328,72,21.2,18.7,54.7,66.3,63,79.4
,Europe and Central Asia,0.3,28,30.8,19,70.8,80.6,46,70
,Latin America and the Caribbean,0.415,85,68.3,27,54.3,55.2,54,79.8
,South Asia,0.536,183,38.7,17.5,29.1,54.6,30,80.3
,Sub-Saharan Africa,0.575,506,109.7,22.5,22.1,31.5,65,76.6
,World,0.449,210,47.4,21.8,54.5,65.4,50,76.7
